TOTAL_REGISTOS,ESCOLA,INEP,ANO,VALOR_DESTINADO
1,EE MARIA ALVES NAGY VARGA,31231657,2019,"R$    12.000,00"
1,ESC EST ENS MED FRANTZ MACHADO CHARAO,43069428,2019,"R$    12.000,00"
1,EMEF HILDA SCARPINO,32064829,2019,"R$    15.000,00"
1,EE NEREIDE CARVALHO,31081779,2019,"R$    12.000,00"
1,ESC EST ENS FUN ESQUINA VANGUARDA,43011608,2019,"R$     9.960,00"
1,EE - COLEGIO ESTADUAL JOAO FRANCISCO DA SILVA - DISTRITO DE CAMANDAROBA,29447763,2019,"R$     9.960,00"
1,ESC EST ENS MED ALEXANDRE ZATTERA,43043143,2018,"R$    18.000,00"
1,ESCOLA ESTADUAL ADALBERTO MARROQUIM,27009459,2019,"R$    15.000,00"
1,ESC EST ENS MED VISCONDE DO RIO BRANCO,43037828,2019,"R$    15.000,00"
1,ESCOLA ESTADUAL INDIGENA ESPECIOSA BENIGNA DE BARROS,26040824,2019,"R$    12.000,00"
1,ESCOLA TECNICA ESTADUAL EPITACIO PESSOA,26129868,2019,"R$    15.000,00"
1,ESC MUL PROFESSORA LEONISIA NAVES DE ALMEIDA,52036642,2018,"R$    18.000,00"
1,EE PREFEITO JAYME TOLEDO,31096750,2019,"R$    15.000,00"
1,ESCOLA MUNICIPAL ALCIDES MANOEL DE MEDEIROS,24002593,2018,"R$    12.000,00"
1,BUENO DE AZEVEDO FILHO PROF,35915233,2018,"R$    18.000,00"
1,ESC EST ENS FUN RACHEL MELLO,43101259,2018,"R$    15.000,00"
1,EE - COLEGIO ESTADUAL SARA VIOLETA DE MELLO KERTESZ,29200075,2019,"R$    18.000,00"
1,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PROFESSORA RAQUEL APARECIDA GONCALVES FRA,35004773,2019,"R$    15.000,00"
1,EE ANTONIO DELPHINO DOS SANTOS,31231550,2019,"R$    15.000,00"
1,ESC EST ENS MED FELIPE MARX,43152767,2019,"R$    15.000,00"
1,EE DE BOQUEIRAO,31081213,2019,"R$     9.960,00"
1,ISAIAS LUIZ MATIAZZO,35005587,2019,"R$    12.000,00"
1,ANGELO SCARABUCCI,35022913,2019,"R$    12.000,00"
1,CONJUNTO MERCURIO C M E I,41355890,2018,"R$     9.960,00"
1,JOSE RICARDO PUCCI PROF,35911288,2019,"R$    12.000,00"
1,FELICIA ADELVAIS PAGLIUSO PROFA,35025124,2019,"R$    15.000,00"
1,ESC EST ENS MED AMADEO ROSSI,43139345,2018,"R$    15.000,00"
1,E M SAO FRANCISCO DE ASSIS,33096996,2019,"R$    15.000,00"
1,EEEP PADRE JOAO BOSCO LIMA,23502983,2019,"R$    15.000,00"
1,JOAO RIBEIRO DA SILVEIRA,35027819,2019,"R$    12.000,00"
1,EE JOAO DE FREITAS NETO,31081736,2019,"R$    15.000,00"
1,E M ESTELITA DE ARAUJO CRESPO,33014523,2018,"R$    15.000,00"
1,NEEJA CAXIAS DO SUL,43169295,2019,"R$    18.000,00"
1,FRANCISCO MORATO ETEC DE,35440036,2019,"R$    15.000,00"
1,CEF TELEBRASILIA,53006976,2019,"R$    18.000,00"
1,EE CORONEL AMANTINO,31310590,2019,"R$     9.960,00"
1,LICEU DE TIANGUA JOSE NI MOREIRA,23265876,2019,"R$    15.000,00"
1,EE DOUTOR TRISTAO DA CUNHA,31147788,2019,"R$    15.000,00"
1,CENTRO DE ENSINO GREGORIO ALVES TORRES,21260257,2019,"R$    12.000,00"
1,ESC EST ENS FUN AURELIANO BARBOSA,43077552,2019,"R$     9.960,00"
1,ESC EST ENS MED OSVALDO ARANHA,43093078,2019,"R$    15.000,00"
1,PAULO NOGUEIRA PROFESSOR,35005897,2019,"R$    15.000,00"
1,EM ENEDINA PRATA,31100064,2018,"R$     9.960,00"
1,0918034 ESCOLA MUNICIPAL JESUS SOARES PEREIRA,33083002,2019,"R$    15.000,00"
1,ESC EST JOAO XXIII,17003261,2019,"R$     9.960,00"
1,ESCOLA ESTADUAL MAURICIO FREIRE,24048739,2019,"R$    15.000,00"
1,ESCOLA ESTADUAL IRMA INES PENHA,13072110,2019,"R$    18.000,00"
1,ESCOLA MUNICIPAL MARGARIDA ALACOQUE ALENCAR SAMPAIO,26184168,2018,"R$    12.000,00"
1,GRUPO MUNICIPAL JOAQUIM SALVIANO GOMES,26003457,2018,"R$     9.960,00"
1,EEMTI SAO PEDRO,23156201,2019,"R$    15.000,00"
1,0101011 ESCOLA MUNICIPAL GEO FELIX MIELLI VENERANDO,33167354,2018,"R$    12.000,00"
1,C E M E F PROFESSOR RAIMUNDO PEREIRA PINHEIRO,15160548,2019,"R$    12.000,00"
1,ESCOLA MUNICIPAL MANOEL SALVADOR DE OLIVEIRA,31106194,2018,"R$    15.000,00"
1,ELVIRA P CARRANO E M PROFA EI EF,41137647,2019,"R$    15.000,00"
1,BATUIRA,35007328,2019,"R$    12.000,00"
1,ESC EST ENS FUN PADRE DOMENICO VICENTINI,43054447,2019,"R$     9.960,00"
1,CE DOM ANTONIO DE ALMEIDA MORAES JUNIOR,33090831,2019,"R$    15.000,00"
1,EE - COLEGIO ESTADUAL CESAR BORGES,29432120,2019,"R$    12.000,00"
1,EE MARECHAL CASTELO BRANCO,31167371,2019,"R$    15.000,00"
1,EE OLEGARIO MACIEL,31148482,2019,"R$     9.960,00"
1,E M PROFESSORA ROSANGELA DUARTE FARIA,33166390,2018,"R$    15.000,00"
1,ESC EST ENS MED VEREADOR JOSE ADAO DE ASSIS BARBOSA CIEP,43171192,2019,"R$    12.000,00"
1,EMEIEF PROFª ENELI FIRMO BANDEIRA SCAPINELLO,51067633,2019,"R$    15.000,00"
1,ESCOLA MUNICIPAL IDALINA,29286786,2019,"R$    12.000,00"
1,ANNITA ATALLA PROFESSORA,35001764,2019,"R$    12.000,00"
1,EE ODILON BEHRENS,31007706,2019,"R$    15.000,00"
1,OSWALDO GUERNER GONZALEZ PROFESSOR,35036985,2019,"R$    12.000,00"
1,E M E F ROMAO HAGE,15023702,2018,"R$     9.960,00"
1,CE QUINTINO BOCAIUVA,33043612,2019,"R$    12.000,00"
1,EE DE JORDANIA,31185078,2019,"R$    15.000,00"
1,ESC EST PROF ELCY RODRIGUES LACERDA,16007468,2019,"R$     9.960,00"
1,EE CORONEL JOAO FERREIRA,31035076,2019,"R$    15.000,00"
1,ESCOLA MUNICIPAL MAL HUMBERTO DE ALENCAR CASTELO BRANCO,29174317,2018,"R$    12.000,00"
1,EE HUMBERTO DE CAMPOS,33061890,2019,"R$    15.000,00"
1,EE TRANQUILINO DIAS BRITO,31147885,2019,"R$    15.000,00"
1,CIEP 327 PEDRO AMERICO,33053766,2019,"R$    12.000,00"
1,EE MESTRA HERCILIA,31063134,2019,"R$    12.000,00"
1,RUI BARBOSA E E C EF,41088697,2019,"R$     9.960,00"
1,EE DONA ANTONIA VALADARES,31033154,2018,"R$    18.000,00"
1,EEM DONA THEREZA ODETTE,23027584,2019,"R$    12.000,00"
1,MONTEIRO LOBATO,35016287,2019,"R$    15.000,00"
1,CARLOS PORTO CORONEL,35013785,2019,"R$    12.000,00"
1,EEEM AGROINDUSTRIAL JUSCELINO KUBITSCHEK DE OLIVEIRA,15043690,2019,"R$    15.000,00"
1,EEEF CLUBE DO BOSQUE,32052260,2019,"R$     9.960,00"
1,EEM NOSSA SENHORA DA ASSUNCAO,23036710,2019,"R$    15.000,00"
1,EE BERNARDO VASCONCELOS,31159786,2018,"R$    15.000,00"
1,E M E F BELKISS SANTOS,15022854,2018,"R$     9.960,00"
1,CE DEZ DE MAIO,33001286,2019,"R$    15.000,00"
1,EC CORREGO BARREIRO,53009398,2019,"R$     9.960,00"
1,EEEF DE IBIARINHA,25030167,2019,"R$     9.960,00"
1,ESC EST ENS FUN ORESTES MANFRO,43141870,2019,"R$    12.000,00"
1,EC APRODARMAS,53006321,2019,"R$    12.000,00"
1,EEIF JOSE NILSON BEZERRA,23178370,2018,"R$     9.960,00"
1,EMEF PROFESSORA BRAULINDA FERNANDES,43100872,2018,"R$     9.960,00"
1,MANASSES EPHRAIN PEREIRA PROFESSOR,35048331,2019,"R$    12.000,00"
1,EMEF PROFESSORA CLAIR DA SILVA WEYH,11035188,2019,"R$    12.000,00"
1,ESC EST ENS FUN PROFESSORA ANA JOB,43153690,2019,"R$    12.000,00"
1,REPUBLICA DA BOLIVIA,35000985,2019,"R$    15.000,00"
1,GENNY PIMAZZONI PROFESSORA,35020953,2019,"R$     9.960,00"
1,EE - COLEGIO ESTADUAL ADELMARIO PINHEIRO,29279178,2019,"R$    18.000,00"
1,ESC EST ED BAS FREI JOSE,43137725,2019,"R$    12.000,00"
1,ESC FLORENTINA ESTEVES,12012440,2019,"R$     9.960,00"
1,ESCOLA MUNICIPAL MONTEIRO LOBATO,22164405,2018,"R$    15.000,00"
1,ESCOLA INDIGENA EXPEDITO OLIVEIRA ROCHA,23239115,2019,"R$     9.960,00"
1,EE - COLEGIO ESTADUAL YPIRANGA - TEMPO INTEGRAL,29182182,2019,"R$    12.000,00"
1,EE JOAO DE SOUZA GONCALVES,31123951,2019,"R$    15.000,00"
1,EE ALBERTO CALDEIRA,31043699,2019,"R$     9.960,00"
1,EE - COLEGIO ESTADUAL BRAULIO XAVIER,29292808,2019,"R$    12.000,00"
1,EE SAO SEBASTIAO,31024040,2019,"R$     9.960,00"
1,ESC EST ENS FUN VALENTIM SCHNEIDER,43020631,2019,"R$     9.960,00"
1,EE SAO JOSE DO BARREIRO,31198986,2019,"R$     9.960,00"
1,EM CIRILO JOAQUIM DOS SANTOS,21180466,2019,"R$    12.000,00"
1,EEFM EDITE ALCANTARA MOTA,23041510,2019,"R$    15.000,00"
1,ESC EST ED BAS LAURA KLAUDAT,43160980,2019,"R$    12.000,00"
1,EE - COLEGIO ESTADUAL DE PRAIA GRANDE,29404282,2019,"R$    18.000,00"
1,DUARTE LEOPOLDO E SILVA DOM,35005356,2018,"R$    18.000,00"
1,EC 13 DE PLANALTINA,53006291,2019,"R$    12.000,00"
1,GALDINO DE CASTRO,35022330,2019,"R$    15.000,00"
1,ESCOLA JOSE MARIANO,26123517,2019,"R$    15.000,00"
1,ESC EST ENS FUN CARLOS FETTER,43061664,2019,"R$    12.000,00"
1,EEFM LUIZ GIRAO,23083255,2018,"R$    15.000,00"
1,E M E F ORLANDO MARQUES DA PIEDADE,15046893,2018,"R$    12.000,00"
1,E M E F MARIA DE FATIMA MONTEIRO FERREIRA,15034798,2018,"R$    15.000,00"
1,ESC EST ENS FUN ANGELO GRANZOTTO,43119514,2019,"R$     9.960,00"
1,EE - COLEGIO ESTADUAL VISCONDE DE MAUA,29191165,2019,"R$    15.000,00"
1,FRANCISCO KLEMTZ E M CEI EF,41129474,2019,"R$    12.000,00"
1,PEDRO FERREIRA CINTRA PROF,35017516,2019,"R$    15.000,00"
1,EMEB PROFESSORA DINARE FEITOSA,21250111,2018,"R$    15.000,00"
1,ESCOLA MUNICIPAL 7 DE SETEMBRO,17004241,2019,"R$     9.960,00"
1,CONCEICAO L DE ALMEIDA E E C EF,41108124,2019,"R$     9.960,00"
1,E T E JUSCELINO KUBITSCHEK,33070946,2019,"R$    15.000,00"
1,EMEF ARY GOMES CEL,35054720,2018,"R$    15.000,00"
1,EEEF COELHO LISBOA,25039083,2019,"R$    12.000,00"
1,WASHINGTON LUIZ,35021325,2018,"R$    18.000,00"
1,OCTACILIO DE OLIVEIRA PADRE,35047557,2018,"R$     9.960,00"
1,JOSE EGEA PROF,35026402,2019,"R$    15.000,00"
1,ESCOLA ESTADUAL DE EDUCACAO ESPECIAL,25093819,2018,"R$     9.960,00"
1,ECI NOSSA SENHORA DO BOM CONSELHO,25036335,2019,"R$    12.000,00"
1,UD DE DONA EMMA,42156408,2019,"R$     9.960,00"
1,EEEFM WALTER BEZERRA FALCAO,15034909,2019,"R$    15.000,00"
1,ESCOLA ESTADUAL PREFEITO DONGA MICHILES,13099892,2019,"R$    15.000,00"
1,EPAMINONDAS JOSE DE ANDRADE,35028939,2019,"R$    15.000,00"
1,EE JOAO AUGUSTO DE CARVALHO,31075892,2019,"R$    15.000,00"
1,IE CARLOS PASQUALE,33054843,2019,"R$    15.000,00"
1,COLEGIO ESTADUAL JOSE DE SOUZA PORTO,17001730,2018,"R$    15.000,00"
1,EE WALMIR ALMEIDA COSTA,31185388,2019,"R$    12.000,00"
1,CE CARDEAL DOM EUGENIO DE ARAUJO SALES,33077150,2019,"R$    12.000,00"
1,EE MACHADO DE ASSIS,31011029,2019,"R$    18.000,00"
1,ESC INDIGENA EST MATAWARE,16004868,2019,"R$     9.960,00"
1,EMEF JOSE DO PATROCINIO,11024003,2019,"R$    12.000,00"
1,EM NOSSA SENHORA DAS GRACAS,31183491,2019,"R$     9.960,00"
1,EE MIGUEL COUTO,31033251,2019,"R$    15.000,00"
1,BAPTISTA DOLCI,35027108,2019,"R$     9.960,00"
1,CEEBJA CANTAGALO EF M,41143574,2019,"R$    12.000,00"
1,CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL BERILA ALVES DE ALMEIDA,28035690,2019,"R$     9.960,00"
1,CENTRO DE ENSINO ESTADO DO ESPIRITO SANTO,21055831,2019,"R$    12.000,00"
1,EE SENHORINHA MUNIZ,31079995,2019,"R$    12.000,00"
1,ESC EST ENS FUN EDUARDO VARGAS,43012230,2019,"R$    12.000,00"
1,CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL SENADOR RAMEZ TEBET,50032763,2019,"R$     9.960,00"
1,EE IELMO MARINHO ENS DE 1 E 2 GRAUS,24045179,2019,"R$    15.000,00"
1,EE EDWARDS CORREA E SOUZA,50012126,2019,"R$    18.000,00"
1,ESCOLA MALAQUIAS JOSE DOS SANTOS,29053226,2019,"R$     9.960,00"
1,ESCOLA MUNICIPAL ZAIRA MONTEIRO GONDIM,23078626,2018,"R$    15.000,00"
1,SAO JUDAS TADEU,35035919,2019,"R$    12.000,00"
1,U E MARIA ISAIAS DE JESUS,22036369,2019,"R$    12.000,00"
1,UD DE IRANI,42126185,2019,"R$     9.960,00"
1,ESCOLA ESTADUAL SENADOR ANTOVILA MOURAO VIEIRA,13030906,2019,"R$    15.000,00"
1,INST ESTADUAL MATHILDE ZATAR,43145884,2019,"R$    15.000,00"
1,ESC EST ENS MED PAULO FREIRE,43205046,2019,"R$     9.960,00"
1,ESCOLA ESTADUAL INDIGENA AGRESTE,26042754,2019,"R$     9.960,00"
1,EE DOM LUSTOSA,31199010,2019,"R$    18.000,00"
1,PASCHOAL CASTREQUINI PREFEITO,35026943,2019,"R$    12.000,00"
1,ANEXO ITUACU,15531422,2019,"R$     9.960,00"
1,EE - COLEGIO ESTADUAL JOSE DE SOUZA MACHADO,29061016,2019,"R$    15.000,00"
1,EE MARIA CANDIDA REIS,31147664,2019,"R$    12.000,00"
1,EE ROMERO DE CARVALHO,31009806,2019,"R$    12.000,00"
1,VINICIUS DE MORAES C E EF M,41069609,2019,"R$    12.000,00"
1,EE MARIANA DE PAIVA,31181137,2019,"R$    15.000,00"
1,CE CIRCULO OPERARIO,33050767,2019,"R$    15.000,00"
1,AVELINO FERREIRA,35011393,2019,"R$    12.000,00"
1,CED 07 DO GAMA,53002563,2018,"R$    18.000,00"
1,EDUARDO VELHO FILHO PROF,35025240,2019,"R$    12.000,00"
1,ESCOLA DE TEMPO INTEGRAL JOAQUIM CARLOS SABINO DOS SANTOS,17056047,2018,"R$    18.000,00"
1,EEM ENGENHEIRO AGEU ROMERO,23040491,2019,"R$    18.000,00"
1,ESCOLA MUNICIPAL MARIA CARDOSO,23257644,2019,"R$    12.000,00"
1,CANDIDO JOSE MARTINEZ PROFESSOR,35917953,2018,"R$    12.000,00"
1,ESCOLA MUNICIPAL PASTOR JOSE MUNGUBA SOBRINHO,26157888,2018,"R$    12.000,00"
1,CE DELFIM MOREIRA,33071560,2019,"R$    12.000,00"
1,EDGARD PIMENTEL REZENDE PROFESSOR,35037679,2019,"R$    15.000,00"
1,EE DOM CABRAL,31000442,2019,"R$    18.000,00"
1,ODETTE DE SOUZA CARVALHO MADRE,35010030,2019,"R$    15.000,00"
1,SIDRONIA NUNES PIRES,35908551,2018,"R$    18.000,00"
1,EE DEPUTADO EDSON RESENDE,31180769,2019,"R$     9.960,00"
1,EE ALFREDO SA,31147966,2019,"R$    18.000,00"
1,ESTHER DE FIGUEIREDO FERRAZ,35925226,2019,"R$    15.000,00"
1,CE DOM JOAO VI,33061866,2019,"R$    18.000,00"
1,EE JOSE RIBEIRO DA SILVA,31140325,2019,"R$    12.000,00"
1,EE ANTONIO JOB DA CRUZ,31043508,2019,"R$    12.000,00"
1,CENTRO EST EDU PROF P MARIA R CASTALDI,41031970,2019,"R$    18.000,00"
1,ALEXANDRE MARCONDES FILHO SENADOR,35005319,2019,"R$    15.000,00"
1,EE MARTINIANO CARLOS PEREIRA,51020270,2019,"R$    12.000,00"
1,EEEM PROFA RAIMUNDA SENA DA SILVA,15099881,2019,"R$    12.000,00"
1,CIEP 275 LENINE CORTES FALANTE,33099278,2019,"R$    12.000,00"
1,ELVIRA SANTOS DE OLIVEIRA DONA,35017681,2019,"R$    18.000,00"
1,PINHEIRO DO PARANA C E EF M PROFIS,41132475,2019,"R$    15.000,00"
1,EE PROFESSOR CHAVES,31160016,2019,"R$    18.000,00"
1,FLORESTAN FERNANDES,35925500,2018,"R$    18.000,00"
1,CENTRO DE ENSINO MEDIO CASTELO BRANCO,17005000,2019,"R$    15.000,00"
1,EM PROFA RENICE SERAPHIM,35004422,2019,"R$    18.000,00"
1,ESC EST ENS MED PROF ELIZABETH BLAAS ROMANO,43295304,2019,"R$     9.960,00"
1,CEEJA MARIA APARECIDA PASQUALETO FIGUEIREDO,35980080,2019,"R$    18.000,00"
1,DORIVAL ALVES,35021994,2019,"R$    15.000,00"
1,EE ANA DANTAS MOTTA,31068144,2019,"R$    12.000,00"
1,ESC EST ENS FUN PRESIDENTE VARGAS,43043291,2018,"R$    15.000,00"
1,JOAO APOCALIPSE PROFESSOR,35017838,2019,"R$    12.000,00"
1,EEM PADRE CORIOLANO,23084200,2019,"R$    18.000,00"
1,EE ALICE LOUREIRO,31130036,2019,"R$    15.000,00"
1,FENIZIO MARCHINI PROF,35017498,2019,"R$    12.000,00"
1,EEM PERBOYRE E SILVA,23076194,2019,"R$    12.000,00"
1,KENNEDY C E PRES EF M PROFIS,41062914,2019,"R$    18.000,00"
1,ESC EST ENS FUN ALZIRA BARCELLOS,43052789,2019,"R$     9.960,00"
1,NOSSA SRA DA CANDELARIA C E DO C EF M,41043391,2019,"R$     9.960,00"
1,ESC EST ENS MED ERICO VERISSIMO,43138039,2019,"R$     9.960,00"
1,ESC EST ED BAS PRUDENTE DE MORAIS,43093884,2018,"R$    18.000,00"
1,ESCOLA MUNICIPAL GIOVANINI CHIODI,31307904,2018,"R$    15.000,00"
1,PRAIA DE BORACEIA,35921749,2019,"R$    15.000,00"
1,GUAIRA C E EF M,41129679,2019,"R$    12.000,00"
1,ESCOLA ESTADUAL OLAVO BILAC,17040841,2019,"R$     9.960,00"
1,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA DE JESUS,28032845,2018,"R$     9.960,00"
1,EEEFM ORLANDO BUENO DA SILVA,11032510,2019,"R$    18.000,00"
1,EE FREI MARCELINO DE MILAO,31020354,2019,"R$    15.000,00"
1,ESC EST PROFESSOR VICENTE GERALDO DE MENDONCA LIMA,13084267,2019,"R$    12.000,00"
1,EEEM PROF ANTONIA ROSA,15053440,2019,"R$    12.000,00"
1,EC 40 DE CEILANDIA,53007956,2018,"R$    15.000,00"
1,EE COSTA SENA,31166626,2019,"R$    12.000,00"
1,EMEB TEN WALDEMIRO DELGADO BERTULIO,51042975,2019,"R$    12.000,00"
1,EC JARDIM BOTANICO,53009533,2019,"R$    12.000,00"
1,ALTAIR APARECIDO CARNEIRO CE PROF EF M,41032489,2019,"R$    15.000,00"
1,SIMPLICIANO CAMPOLIM DE ALMEIDA,35015428,2019,"R$    12.000,00"
1,EE DR JOAO PINTO,31181854,2019,"R$    15.000,00"
1,EE PROFESSOR RAFAEL MAGALHAES,31055476,2019,"R$    12.000,00"
1,EEEFM AGENOR DE SOUZA LE,32038488,2019,"R$    15.000,00"
1,UMEF DEP PAULO SERGIO BORGES,32080190,2019,"R$    18.000,00"
1,EE MARIA DE MAGALHAES,31158275,2019,"R$    15.000,00"
1,DARIO BRASIL DOUTOR,35036473,2019,"R$    15.000,00"
1,PEDRO II E E C D EF,41089693,2019,"R$     9.960,00"
1,ESCOLA PARQUE MUNICIPAL SANTA CRUZ DO DESERTO,27002535,2019,"R$    12.000,00"
1,ESC EST ENS FUN SAO JOAO BATISTA DE LA SALLE,43057080,2019,"R$     9.960,00"
1,ESCOLA ESTADUAL PROFª MARIA JOSE LOUREIRO,27037061,2019,"R$    15.000,00"
1,ESC EST JUVENAL FARIAS DA COSTA,16001133,2018,"R$     9.960,00"
1,EE JAIME MAFRA,31020362,2019,"R$     9.960,00"
1,CENTRO DE ENSINO AMERICA CENTRAL,21025649,2019,"R$    15.000,00"
1,EEEF FELINTO ELIZIO,25067141,2019,"R$    15.000,00"
1,EE SAO FRANCISCO DE SALES,31159646,2019,"R$     9.960,00"
1,EEB NEREU DE OLIVEIRA RAMOS,42068282,2019,"R$     9.960,00"
1,U E JOAO DE DEUS CARVALHO,22048456,2018,"R$    15.000,00"
1,EEEP ANTONIO MOTA FILHO,23545607,2019,"R$    15.000,00"
1,ESCOLA MUNICIPAL MUNIZ BARRETO,29166870,2018,"R$    12.000,00"
1,EE DOUTOR JACINTO ALVARES,31035441,2019,"R$    12.000,00"
1,EMEF VEREADOR CLEO DOS SANTOS,43175295,2018,"R$    12.000,00"
1,OTTO DE BARROS VIDAL PROFESSOR,35041683,2019,"R$    15.000,00"
1,EM HERCILIA SILVA DE MELO,31273074,2019,"R$    12.000,00"
1,ESC EST ENS MED FAXINALZINHO,43062229,2019,"R$    12.000,00"
1,JACINTO PERNAS GOMATO,35031422,2019,"R$     9.960,00"
1,EIEEFM SOWAINTE,11046635,2019,"R$     9.960,00"
1,COL ESTADUAL SAO MARCOS,43141897,2019,"R$    15.000,00"
1,ELMOZA ANTONIO JOAO PROFA,35030892,2019,"R$    12.000,00"
1,ALADINO POLON,35921002,2018,"R$    12.000,00"
1,CERQUEIRA CESAR DOUTOR,35013985,2019,"R$    15.000,00"
1,COLEGIO MILITAR DA POLICIA MILITAR DO AMAZONAS,13026577,2019,"R$    18.000,00"
1,ESCOLA ESTADUAL PROFª ANA MARIA TEODOSIO,27006590,2019,"R$    12.000,00"
1,EE JOSE GOMES DE MORAIS FILHO,31294705,2019,"R$     9.960,00"
1,EE DOUTOR ROCKERT,31082155,2019,"R$    12.000,00"
1,CEJA PADRE ANTONIO TOMAS,23216328,2019,"R$    15.000,00"
1,ESCOLA MARIA ALICE DA VEIGA PESSOA,26056763,2019,"R$    12.000,00"
1,EE CARLOS ALEXANDRE DE OLIVEIRA,31142042,2019,"R$     9.960,00"
1,JOAO DIONISIO PROFESSOR,35027339,2019,"R$    12.000,00"
1,E M PROF HELENA COUTINHO,33022208,2018,"R$     9.960,00"
1,CETI JOAO HENRIQUE DE ALMEIDA SOUSA,22256725,2019,"R$    12.000,00"
1,ATALIBA DE OLIVEIRA PROFESSOR,35004339,2019,"R$    18.000,00"
1,EE - COLEGIO ESTADUAL DO CAMPO SIDNEY MASCARENHAS - DISTRITO DE JAVI,29397758,2019,"R$    12.000,00"
1,ESC EST ENS FUN DR CARLOS ALFREDO SIMCH,43137326,2019,"R$     9.960,00"
1,HANS WIRTH,35031549,2019,"R$    12.000,00"
1,ESTANISLAU AUGUSTO PROFESSOR,35017875,2019,"R$    12.000,00"
1,ESC EST ENS MED ASSIS BRASIL,43156525,2019,"R$    15.000,00"
1,EEMTI MARCONI COELHO REIS,23265000,2019,"R$    12.000,00"
1,CIEP 433 TOGO RENAN SOARES KANELA,33106738,2019,"R$    18.000,00"
1,EE FERNAO DIAS,31081922,2019,"R$    15.000,00"
1,RUTH GUIMARAES BOTELHO,35478416,2019,"R$    12.000,00"
1,COLEGIO MUNICIPAL RAIMUNDO SANTIAGO DE SOUZA,29307953,2018,"R$    12.000,00"
1,EE COMENDADOR GOMES,31330671,2019,"R$     9.960,00"
1,TANCREDO DE ALMEIDA NEVES PRES,35902901,2019,"R$    18.000,00"
1,ADALGISA MOREIRA PIRES PROFESSORA,35002537,2019,"R$    15.000,00"
1,ESC EST ENS FUN SANTA TECLA,43069053,2019,"R$    12.000,00"
1,LEONTINA SILVA BUSCH PROFESSORA,35917837,2019,"R$    15.000,00"
